Autor1,Autor2,Score
92790.0,62821.0,0.99999964
111161.0,93504.0,0.9999994
53213.0,44612.0,0.99999917
35290.0,52682.0,0.99999833
44612.0,62821.0,0.9999982
38966.0,53213.0,0.99999785
93504.0,75223.0,0.99999774
90402.0,89732.0,0.9999976
47968.0,89732.0,0.9999968
111161.0,89732.0,0.99999666
21718.0,90402.0,0.9999962
28516.0,53213.0,0.99999607
18314.0,44612.0,0.99999464
92790.0,75223.0,0.99999464
97249.0,93504.0,0.9999944
53213.0,117350.0,0.9999933
94235.0,90402.0,0.9999925
115607.0,89732.0,0.9999919
35290.0,58278.0,0.99999094
89732.0,75223.0,0.9999894
