source,target,connected,camino_más_corto,centralidad_grado_source,centralidad_grado_target,centralidad_cercanía_source,centralidad_cercanía_target,coeficiente_agrupamiento_source,coeficiente_agrupamiento_target,pagerank_source,pagerank_target,k_core_number_source,k_core_number_target
84424,276,1,True,1,0.003995525011986575,0.0016514836716211177,0.29143162289216096,0.2610825182052537,0.07567567567567568,0.11612903225806452,0.0001820535716281254,0.00012153589717753307,26,13
84424,1662,1,True,1,0.003995525011986575,0.00229076767353897,0.29143162289216096,0.2768661855076437,0.07567567567567568,0.24141749723145073,0.0001820535716281254,8.076657231995969e-05,26,26
84424,5089,1,True,1,0.003995525011986575,0.00010654733365297533,0.29143162289216096,0.22535050348474,0.07567567567567568,1.0,0.0001820535716281254,1.2398933707605364e-05,26,2
84424,6058,1,True,1,0.003995525011986575,0.00479463001438389,0.29143162289216096,0.2931580246143367,0.07567567567567568,0.2292134831460674,0.0001820535716281254,0.0001501118582996792,26,32
84424,6229,1,True,1,0.003995525011986575,0.002237494006712482,0.29143162289216096,0.27250459188728965,0.07567567567567568,0.12427409988385599,0.0001820535716281254,0.00011211104639564037,26,21
84424,10639,1,True,1,0.003995525011986575,0.006286292685525545,0.29143162289216096,0.29973017442355177,0.07567567567567568,0.11878893234825438,0.0001820535716281254,0.000227332357518438,26,31
84424,16442,1,True,1,0.003995525011986575,0.00159821000479463,0.29143162289216096,0.27194033728102124,0.07567567567567568,0.31494252873563217,0.0001820535716281254,5.794784769412523e-05,26,20
84424,19325,1,True,1,0.003995525011986575,0.006019924351393107,0.29143162289216096,0.2986448983804922,0.07567567567567568,0.13084702907711757,0.0001820535716281254,0.00020911957134555378,26,32
84424,19834,1,True,1,0.003995525011986575,0.000159821000479463,0.29143162289216096,0.235548062242379,0.07567567567567568,1.0,0.0001820535716281254,1.4968122207087806e-05,26,3
84424,20113,1,True,1,0.003995525011986575,0.0014916626711416548,0.29143162289216096,0.2682529961900883,0.07567567567567568,0.1164021164021164,0.0001820535716281254,0.00010427308951337518,26,13
84424,21937,1,True,1,0.003995525011986575,0.00042618933461190133,0.29143162289216096,0.24865255225542662,0.07567567567567568,0.4642857142857143,0.0001820535716281254,3.560801707832324e-05,26,7
84424,25452,1,True,1,0.003995525011986575,0.00841723935858505,0.29143162289216096,0.30098246267984763,0.07567567567567568,0.15367249858905105,0.0001820535716281254,0.0002468670497337663,26,45
84424,26902,1,True,1,0.003995525011986575,0.000159821000479463,0.29143162289216096,0.22549634407790312,0.07567567567567568,1.0,0.0001820535716281254,1.544279378426675e-05,26,3
84424,29829,1,True,1,0.003995525011986575,0.0006925576687443396,0.29143162289216096,0.24941172459628888,0.07567567567567568,0.14102564102564102,0.0001820535716281254,4.3148182415473285e-05,26,10
84424,30222,1,True,1,0.003995525011986575,0.00410207234563955,0.29143162289216096,0.28993700022950036,0.07567567567567568,0.17293233082706766,0.0001820535716281254,0.0001594589324003445,26,28
84424,32432,1,True,1,0.003995525011986575,0.0019178520057535559,0.29143162289216096,0.28044531275997236,0.07567567567567568,0.20317460317460317,0.0001820535716281254,7.160255542510302e-05,26,26
84424,33040,1,True,1,0.003995525011986575,0.01369133237440733,0.29143162289216096,0.31822762288707307,0.07567567567567568,0.0838703793774319,0.0001820535716281254,0.0004305524982190955,26,38
84424,39238,1,True,1,0.003995525011986575,0.000639284001917852,0.29143162289216096,0.2510141610996421,0.07567567567567568,0.24242424242424243,0.0001820535716281254,4.056662863317261e-05,26,9
84424,39521,1,True,1,0.003995525011986575,0.007138671354749347,0.29143162289216096,0.3014128627129856,0.07567567567567568,0.2012119851868477,0.0001820535716281254,0.0002038657366799015,26,39
84424,41418,1,True,1,0.003995525011986575,0.0029300516754568215,0.29143162289216096,0.2583252162971972,0.07567567567567568,0.32794612794612793,0.0001820535716281254,0.00010937208424782654,26,20
84424,45009,1,True,1,0.003995525011986575,0.009109797027329392,0.29143162289216096,0.30248086945493513,0.07567567567567568,0.16401788785689714,0.0001820535716281254,0.0002742905268533956,26,41
84424,45098,1,True,1,0.003995525011986575,0.0014916626711416548,0.29143162289216096,0.27342104311955473,0.07567567567567568,0.5,0.0001820535716281254,5.2441910059381256e-05,26,23
84424,45242,1,True,1,0.003995525011986575,0.00458153534707794,0.29143162289216096,0.2854577862483591,0.07567567567567568,0.1920656634746922,0.0001820535716281254,0.00014919408742256572,26,32
84424,47005,1,True,1,0.003995525011986575,0.000799105002397315,0.29143162289216096,0.24676933810563192,0.07567567567567568,0.2571428571428571,0.0001820535716281254,5.246867212090506e-05,26,9
84424,47968,1,True,1,0.003995525011986575,0.01459698471045762,0.29143162289216096,0.3163466777008404,0.07567567567567568,0.1509585305205743,0.0001820535716281254,0.000400230143132136,26,55
84424,47999,1,True,1,0.003995525011986575,0.0025038623408449204,0.29143162289216096,0.2679456707656171,0.07567567567567568,0.13691026827012026,0.0001820535716281254,0.00012091516234167137,26,19
84424,49934,1,True,1,0.003995525011986575,0.004847903681210378,0.29143162289216096,0.2871573969912937,0.07567567567567568,0.08791208791208792,0.0001820535716281254,0.00022692146665947988,26,24
84424,50220,1,True,1,0.003995525011986575,0.0011720206701827287,0.29143162289216096,0.27091764829442017,0.07567567567567568,0.19047619047619047,0.0001820535716281254,5.23874040039657e-05,26,17
84424,50897,1,True,1,0.003995525011986575,0.00799105002397315,0.29143162289216096,0.3045799695926208,0.07567567567567568,0.14263982102908276,0.0001820535716281254,0.00023979708007715322,26,37
84424,51730,1,True,1,0.003995525011986575,0.00010654733365297533,0.29143162289216096,0.22324368047692614,0.07567567567567568,1.0,0.0001820535716281254,1.448221661883463e-05,26,2
84424,53681,1,True,1,0.003995525011986575,0.000639284001917852,0.29143162289216096,0.23943945299087524,0.07567567567567568,0.3484848484848485,0.0001820535716281254,5.03877773739765e-05,26,8
