Autor1,Autor2,Score
60975.0,115260.0,0.9860488
76749.0,42355.0,0.9839543
120618.0,60975.0,0.98368394
18984.0,42505.0,0.9836616
42505.0,78781.0,0.9834381
78781.0,113390.0,0.983194
42355.0,113390.0,0.98299384
76749.0,103706.0,0.9828409
60975.0,45183.0,0.9827391
18984.0,113663.0,0.98272103
35666.0,83172.0,0.9825797
42551.0,42355.0,0.98257554
76749.0,113663.0,0.98238766
42505.0,77052.0,0.98237854
75223.0,115260.0,0.982143
120618.0,113663.0,0.9821155
88.0,77052.0,0.98192626
53098.0,110423.0,0.9817407
18984.0,101361.0,0.9815656
60975.0,70130.0,0.98156196
