Autor1,Autor2,Score
26434.0,88729.0,0.9288864
108825.0,125001.0,0.9288691
105998.0,26434.0,0.92743236
9504.0,23255.0,0.92040634
624.0,77990.0,0.9183554
99245.0,89017.0,0.9182323
108291.0,119973.0,0.9165717
11153.0,46145.0,0.9141788
34869.0,38576.0,0.9130809
66039.0,105109.0,0.9098963
59697.0,84039.0,0.9058534
22770.0,91703.0,0.90553653
79153.0,18228.0,0.9047743
103018.0,52357.0,0.9026014
120295.0,4475.0,0.8998084
62405.0,61078.0,0.899511
79746.0,23483.0,0.8968389
127663.0,24667.0,0.89562595
62303.0,27244.0,0.8952931
112945.0,85997.0,0.89480937
